# Time(s)	Temperature(C)
0.00	25.00
0.10	42.50
0.20	60.00
0.30	77.50
0.40	95.00
0.50	112.50
0.60	130.00
0.70	147.50
0.80	165.00
0.90	182.50
1.00	200.00
1.10	217.50
1.20	235.00
1.30	252.50
1.40	270.00
1.50	287.50
1.60	305.00
1.70	322.50
1.80	340.00
1.90	357.50
2.00	375.00
2.10	392.50
2.20	410.00
2.30	427.50
2.40	445.00
2.50	462.50
2.60	480.00
2.70	497.50
2.80	515.00
2.90	532.50
3.00	550.00
3.10	567.50
3.20	585.00
3.30	602.50
3.40	620.00
3.50	637.50
3.60	655.00
3.70	672.50
3.80	690.00
3.90	707.50
4.00	725.00
4.10	742.50
4.20	760.00
4.30	777.50
4.40	795.00
4.50	812.50
4.60	830.00
4.70	847.50
4.80	865.00
4.90	882.50
5.00	900.00
5.10	897.96
5.20	895.92
5.30	893.90
5.40	891.89
5.50	889.90
5.60	887.91
5.70	885.94
5.80	883.98
5.90	882.03
6.00	880.09
6.10	878.16
6.20	876.24
6.30	874.34
6.40	872.44
6.50	870.56
6.60	868.68
6.70	866.82
6.80	864.96
6.90	863.12
7.00	861.29
7.10	859.47
7.20	857.65
7.30	855.85
7.40	854.06
7.50	852.27
7.60	850.50
7.70	848.73
7.80	846.98
7.90	845.23
8.00	843.49
8.10	841.77
8.20	840.05
8.30	838.34
8.40	836.64
8.50	834.95
8.60	833.26
8.70	831.59
8.80	829.92
8.90	828.26
9.00	826.61
9.10	824.97
9.20	823.34
9.30	821.71
9.40	820.10
9.50	818.49
9.60	816.89
9.70	815.30
9.80	813.71
9.90	812.13
10.00	810.56
10.10	809.00
10.20	807.45
10.30	805.90
10.40	804.36
10.50	802.83
10.60	801.30
10.70	799.78
10.80	798.27
10.90	796.77
11.00	795.27
11.10	793.78
11.20	792.30
11.30	790.83
11.40	789.36
11.50	787.89
11.60	786.44
11.70	784.99
11.80	783.55
11.90	782.11
12.00	780.68
12.10	779.26
12.20	777.84
12.30	776.43
12.40	775.03
12.50	773.63
12.60	772.24
12.70	770.85
12.80	769.47
12.90	768.10
13.00	766.73
13.10	765.37
13.20	764.01
13.30	762.66
13.40	761.32
13.50	759.98
13.60	758.65
13.70	757.32
13.80	756.00
13.90	754.69
14.00	753.37
14.10	752.07
14.20	750.77
14.30	749.48
14.40	748.19
14.50	746.90
14.60	745.63
14.70	744.35
14.80	743.09
14.90	741.82
15.00	740.57
15.10	739.31
15.20	738.07
15.30	736.83
15.40	735.59
15.50	734.36
15.60	733.13
15.70	731.91
15.80	730.69
15.90	729.48
16.00	728.27
16.10	727.07
16.20	725.87
16.30	724.67
16.40	723.48
16.50	722.30
16.60	721.12
16.70	719.94
16.80	718.77
16.90	717.61
17.00	716.44
17.10	715.29
17.20	714.13
17.30	712.99
17.40	711.84
17.50	710.70
17.60	709.56
17.70	708.43
17.80	707.31
17.90	706.18
18.00	705.06
18.10	703.95
18.20	702.84
18.30	701.73
18.40	700.63
18.50	699.53
18.60	698.43
18.70	697.34
18.80	696.26
18.90	695.17
19.00	694.09
19.10	693.02
19.20	691.95
19.30	690.88
19.40	689.82
19.50	688.76
19.60	687.70
19.70	686.65
19.80	685.60
19.90	684.55
20.00	683.51
20.10	682.47
20.20	681.44
20.30	680.41
20.40	679.38
20.50	678.36
20.60	677.34
20.70	676.32
20.80	675.31
20.90	674.30
21.00	673.29
